Unnamed: 0,airline,title,date,content,rate,SeatType,AircraftType,SeatLayout,clean_content
10,aegean-airlines,"""with ample legroom""",4th January 2016,The seats on my Aegean flight were spacious with ample legroom. They recline quite a bit and the armrests in between the center seat and the two adjacent seats can be lifted up all the way. There is a nice open area near the emergency exit area that allows for comfortable movement in the aircraft.,10.0,Economy Class,A320,3x3,seats aegean flight spacious ample legroom quite bit armrests center seat adjacent seats lifted way nice open area emergency exit area allows comfortable movement aircraft
11,aegean-airlines,"""a bit more leg space""",26th August 2015,"I recently flew 4 legs in row 11 seats A and F. It's the emergency exit row, so you will have a bit more leg space than in the other rows. Remember that with Aegean Airlines the online check-in opens 48 hours before the departure.",8.0,Economy Class,A320,3x3,cently flew legs seats emergency exit row bit leg space rows remember airlines online check opens hours departure
12,aegean-airlines,"""clean and in good condition""",20th July 2015,LHR to Larnaca return. Plane was clean and in good condition. Drinks were served throughout both flights. Food was good. Would definitely not hesitate to use this airline for European trips.,10.0,Economy Class,A320-200,3x3,urn plane clean good condition drinks served flights food good would definitely hesitate use airline european trips
13,aegean-airlines,"""seats are very good""",21st January 2013,For a short haul airline the seats are very good. I find the seats comfortable and plenty of leg room!,9.0,Economy Class,AIRBUS A320,3x3,short seats good find seats comfortable plenty leg room
0,aer-lingus,"""The seats were cramped""",14th April 2019,"Not Verified |  We flew out of Washington DC to Dublin and back the same way. The seats were cramped, you couldn't read a book if it was any bigger than six inches. The magazines that are located in the back of the seat in front of you were not able to be read at all as you had no room to flip the pages. Add to that the fact that they seats recline and the person in front of me decided to be in my lap for the entire flight it was all kinds of special. I have flown to Ireland with this airline before and loved it. Now it makes JetBlue looks like a first class seat. They filled every single seat on the plane. My husband and myself checked in at the same time and they seperated us. Thank God for the ladies on either side of me or I would not have been able to set my tea down, the person in front of me took up every bit of room that I had. I am only 5 feet tall, so God help you if you are tall. I am going to have to think long and hard before I even want to visit Ireland again. Perhaps the people who want to promote travel to Ireland should look into this?",4.0,Economy Class,Boeing 757,3x3,lew back way seats cramped book bigger inches magazines located seat front able read room flip pages add fact seats recline person front decided lap entire flight kinds special loved makes jetblue looks first class seat filled single seat plane husband checked time seperated thank ladies side would able set tea person front took bit room feet tall help tall going think long hard even want visit perhaps people want promote travel look
1,aer-lingus,"""Seat 1F is amazing""",5th November 2017,"✅ Verified Review |  Due to free selection of seats included when you have a checked bag, I was able to seat in the first row for free. Seat 1F is amazing. There is nobody in front of you and you have have more legroom furthermore you can exit the aircraft as soon as the doors are opened. The seat width is reasonable however the downside of the first room is that the tables are stored in the arm rest. Otherwise one of the best seats i ever had.",8.0,Economy Class,A320,3x3,w due free selection seats included checked bag able seat first row free seat amazing front legroom furthermore exit aircraft soon doors opened seat width reasonable however downside first room tables stored arm rest otherwise best seats ever
2,aer-lingus,"""The seats were tight""",17th May 2017,"✅ Verified Review |  I found the flight to be very tight. The seats were tight, the aisle was tight and the under seat storage was terrible. The only seats that has unobstructed storage underneath are the window seats. The middle seats were 75% obstructed by an electrical box and the aisle seat was 50% obstructed by a metal bar. Also, good luck sleeping on the aisle. Because the aisle is so narrow, you will be bumped by people walking by. My seat was missing an arm rest cover causing metal edges to be exposed. I placed my pillow over the arm rest for 6 hours. My wife's seat didn't have padding so she sat on a hard seat for 6 hours. It's time for these planes to be retired. We flew on a 757-200 out of Hartford CT.",4.0,Economy Class,Boeing 757-200,3x3,w found flight tight seats tight aisle tight seat storage terrible seats unobstructed storage window seats middle seats obstructed electrical seat obstructed metal bar also good luck sleeping aisle aisle narrow bumped people walking seat missing arm rest cover causing metal edges exposed placed pillow arm rest hours wife seat padding sat hard seat hours time planes retired flew hartford
3,aer-lingus,"""considerable discomfort""",1st June 2016,"I recently flew home to Ireland on the 24th of May 2016. I booked an aisle seat with the aisle to my left hand side as I had recent surgery on my left hand and arm and wished to avoid the discomfort of jolting my arm against someone else's personal space. Having paid extra to book my seat, prior to takeoff I discovered the seat was broken as it wouldn't stay upright. I was asked by the staff to move seat and was moved to one beside a mother with a cot. The staff and mother were very accomodating and I have no complaints in this regard. The aisle was now to my right, negating the purpose of paying for the previous seat and causing considerable discomfort for the duration of the flight. However, having submitted a written complaint to Aer Lingus via the staff I have yet to hear from the company. I provided home addresses in the USA and Ireland along with my email. I feel this is unnacceptable for an international air line offering a professional service.",3.0,Economy Class,A330-200,2x3x2,cently flew home booked left hand side recent surgery left hand arm wished avoid discomfort jolting arm else personal space paid extra book seat prior takeoff discovered seat broken stay upright asked staff move seat moved mother staff mother accomodating complaints regard aisle right negating purpose paying previous seat causing considerable discomfort duration flight however submitted written complaint staff hear company provided home addresses email feel unnacceptable international air line offering professional service
4,aer-lingus,"""point A to point B""",23rd November 2015,We were in the seats about halfway back in Economy. The seat pitch was no greater than you would find on any US airline and the spacing between seats is just as bad. In fact the person in the seat in front of mean leaned back and it felt like they were almost in my lap. This is so bad that prior to the meal service they flight attendants ask the passengers to put their seats up until after the dinner was completed. One of our TV's touch screen didn't work well and the person in the seat two rows up had no video at all during the flight. The flight was a means to get from point A to point B.,6.0,Economy Class,A330-300,2x4x2,seats halfway back economy seat pitch greater would find airline spacing seats bad fact person seat front leaned back felt almost lap bad prior meal service flight attendants ask passengers put seats dinner completed tv touch screen work well person seat rows video flight flight means get point point b
5,aer-lingus,"""don't recline very much""",2nd November 2015,"The seats on the A330 were okay to the USA, the leg room isn't bad at all - it could be a bit better. It's impossible to sleep in these seats for me but that's probably because I can't sleep sitting up - I need to lay down or be able to lay against the side of cabin / Window which I couldn't do on my return trip to Dublin since I was in the middle row of seats. They don't recline very much either this could be improved and it would be easier for me to sleep",7.0,Economy Class,A330,2x4x2,seats leg room bad could bit better impossible sleep seats probably sleep sitting need lay able lay side cabin window return trip middle row seats much either could improved would easier sleep
6,aer-lingus,"""seats are a bit tight but bearable""",7th July 2015,"The seats are a bit tight but bearable. If you're courteous to others they will be courteous to you. Everyone is in the same seat so ask your neighbor, be it front or back if any issues come up and all should be good!",6.0,Economy Class,A330,2x4x2,seats bit tight bearable courteous others courteous seat ask neighbor front issues come good
7,aer-lingus,"""tight width and leg room""",22nd October 2010,Appeared new. Good PTV entertainment. Seats have tight width and leg room. Difficult to enter/exit with seat in front reclined. Feet comfort poor due to restriction from under seat equipment.,5.0,Economy Class,Airbus A330,2x4x2,appeared new entertainment seats tight width leg room difficult enter exit seat front reclined feet comfort poor due restriction seat equipment
0,aeroflot-russian-airlines,"""a lot of leg room""",4th August 2019,"✅ Trip Verified |  Was on the flight from Voronezh to Moscow Sheremetyevo, everything was excellent, a lot of leg room, friendly staf. Landing and take off was smooth, plane arrived on time.",10.0,Economy Class,Sukhoi Superjet 100-95B,2x3,light sheremetyevo excellent lot leg room friendly landing take smooth plane arrived time
1,aeroflot-russian-airlines,"""A321 was very comfortable""",2nd August 2019,Not Verified |  The A321 was very comfortable and the crew is not bad and the plane was very new and the food is free so you should not buy any food at the airport And I recommend you to fly with Aeroflot,9.0,Economy Class,A321,3x3,comfortable crew bad plane new food free buy food airport recommend fly
2,aeroflot-russian-airlines,"""could not buckle the seat belt""",26th June 2019,"✅ Trip Verified |  Personel were very nice and professional. Plane was clean, but Aeroflots Sukhoi Superjet was the only aircraft that I could not buckle the seat belt in! Changed into a Airbus in Helsinki and had absolutely no problem buckling the seat belts. Also, tray tables were poorly designed as well, even though I know they're industry standard. You're already packed in tight and the tray tables swing down away from the back of the seats enough that I easily shoved my pillow into the seat pocket with the tray table folded down! This put the tray table right into my belly. Honestly, this is the biggest reason that I avoid flying as much as I can. ",4.0,Economy Class,Sukhoi Superjet,2x3,ofessional plane clean aeroflots superjet aircraft could buckle seat belt changed absolutely problem buckling seat belts also tray tables poorly designed well even know industry standard already packed tight tray tables swing away back seats enough easily shoved pillow seat pocket tray table folded put tray table right belly honestly biggest reason avoid flying much
3,aeroflot-russian-airlines,"""very comfortable and clean""",7th February 2019,"✅ Trip Verified |  I like Aeroflot's A320 cabins, i've flew on old (8 years) aircraft, so the cabin was not the newest configuration(the new one has iPad and Phone holders, IFEs and power outlets) but the good thing about old one, it looks like it is only 2 years old. Seats are very comfortable and clean. the recline is good, legroom is ok and you also have an adjustable headrest which is very comfortable. I like this cabin!!!",9.0,Economy Class,A320,3x3,cabins flew old years aircraft cabin newest configuration new ipad phone holders ifes power outlets good thing old looks years old seats comfortable clean recline good legroom also adjustable headrest comfortable cabin
4,aeroflot-russian-airlines,"""The legroom is nice""",16th November 2018,"✅ Trip Verified |  Murmansk to Moscow, aircraft was a new Russian short-haul SSJ-100. I think it is little bit noisy inside, but ok. The legroom is nice, it don't have power outlets. Recline was standard for the middle-haul planes, but my favorite is the lavatory in the back of the aircraft. It was pretty clean onboard.",10.0,Economy Class,SSJ100-95,2x3,aircraft russian think little bit noisy inside ok legroom nice power outlets recline standard middle planes favorite lavatory back aircraft pretty clean onboard
5,aeroflot-russian-airlines,"""seats are very comfortable""",16th November 2018,"✅ Trip Verified |  A330-300 aircraft, it was really nice for such a short flight to have a very nice IFE, but very slow. Food was also good, nice drinks, as a long-haul aircraft, the seats are very comfortable. I can recommend it.",8.0,Economy Class,A330-300,2x4x2,aircraft really nice short flight nice slow food also good nice drinks long haul aircraft seats comfortable recommend
6,aeroflot-russian-airlines,"""drastically different comfort""",25th February 2018,"✅ Trip Verified |  I frequently fly from Moscow to Tyumen for business. On this roundtrip, I flew on 737-800 planes in both directions in the same aisle position 14C, but the experience could not have been more different. The flight to Tyumen was on an older 737-800, and my knees were pressing against the seat in front of me. This was not helped by the fact that the airline had 5 different magazines stuffed in the pocket. The seat was cramped and uncomfortable. It could barely fit my computer bag under the seat in front of me, due to the position of the metal frame supporting the row of seats. Fortunately, the return trip to Moscow was on a newer 737-800 which was much nicer. I had noticeably more legroom, due to the different seat pocket position, and perhaps intentionally by design. The position of the metal frame under the seat in front of me was also different, providing more room for my computer bag or my legs. It is interesting how different vintages of the same plane can produce such drastically different comfort.",5.0,Economy Class,Boeing 737-800,3x3,quently fly business roundtrip flew planes directions aisle position c experience could different flight tyumen older knees pressing seat front helped fact airline different magazines stuffed pocket seat cramped uncomfortable could barely fit computer bag seat front due position metal frame supporting row seats fortunately return trip newer much nicer noticeably legroom due different seat pocket position perhaps intentionally design position metal frame seat front also different providing room computer bag legs interesting different vintages plane produce drastically different comfort
7,aeroflot-russian-airlines,"""seat was not comfortable""",18th April 2017,✅ Verified Review |  The Boeing 737-800 seat was not comfortable and the distance to the previous seat was very small. I should have put my legs in the aisle and so some other passengers. I only can imagine how it is if you are not in an aisle seat. And it was more than 6 hour flight from Moscow to Ulaanbaatar. There was no entertainment but there was a power USB supply.,4.0,Economy Class,Boeing 737-800,3x3,w seat comfortable distance previous seat small put legs aisle passengers imagine aisle seat hour flight entertainment power usb supply
8,aeroflot-russian-airlines,"""wasn't enough space for my legs""",19th February 2017,"✅ Verified Review |  Brussels to Moscow on a Boeing 737, it was an older aircraft, some issues with the seats and there wasn't enough space for my legs (187cm). If the seat before you get a little down, it isn't that nice. The crew speaks fluently Russian and English. But they will try help you if you have a question.",3.0,Economy Class,Boeing 737,3x3,w older aircraft issues seats enough space legs seat get little nice crew speaks fluently russian try help question
9,aeroflot-russian-airlines,"""plane with small leg room""",1st December 2016,"✅ Verified Review |  I just don't understand why Aeroflot start using Boeing 737-800 on 3hrs+ European flights instead of comfortable and spacious Airbus 319/320? Boeing 737-800 (or at least Aeroflot version) is a plane with small leg room - so small that your knees will hurt after seating there for more than even an hour.  And the worst thing - when you want to recline your seat, the seat moves forward as the backseat reclines. So your knees really ""thank you"" with blue spots after the flight.",1.0,Economy Class,Boeing 737-800,3x3,w understand start using european flights instead comfortable spacious least version plane small leg room small knees hurt seating even hour worst thing want recline seat seat moves forward backseat reclines knees really thank blue spots flight
10,aeroflot-russian-airlines,"""pretty much comfortable""",6th October 2016,"The seats in Aeroflot's A320 are better than some other airlines. The seats are leather, and they give you pillows and blankets for night flights. The flight can be boring if it's long because there is no IFE. Seat legroom is pretty much comfortable. Cabin is all new, clean, and very bright.",7.0,Economy Class,A320,3x3,better airlines seats leather give pillows blankets night flights flight boring long seat legroom pretty much comfortable cabin new clean bright
11,aeroflot-russian-airlines,"""Boeing 737-800 totally uncomfortable""",14th August 2016,"I can't understand one thing - Aeroflot are using A320 with comfortable seats with more than enough space for legs on flights between Riga and Moscow (one and a half hour flight). But at the same time on flight between Dubai and Moscow (5 hours flight) they are using totally uncomfortable, with no space for legs at all Boeing 737-800, even for my wife (she is 160 cm tall), but for me (190 cm tall) it was the worst flight experience in my life.",3.0,Economy Class,Boeing 737-800,3x3,understand thing using comfortable seats enough space legs flights half hour flight time hours flight using totally uncomfortable space legs even tall tall worst flight experience life
12,aeroflot-russian-airlines,"""bigger seats and more legroom""",1st June 2016,Its my 5th time flying long distance (9 hours) with Aeroflot and it was always great experience. Premium economy has bigger seats and more legroom than economy while price is just amazing for such a long flight. The staff were friendly. Wireless internet was available on board. Overall great experience for what I paid.,10.0,Premium Economy,Boeing 777-300ER,2x4x2,h time flying long distance hours always great experience premium economy bigger seats legroom economy price amazing long flight staff friendly wireless internet available board overall great experience paid
13,aeroflot-russian-airlines,"""table tray does not come fully down""",2nd August 2015,"Boeing 737-800 seats from Athens to Moscow are so small. The table tray does not come fully down without stopping on the knees by 3-4 cm so is not coming in horizontal position and there is no space for the knees. There are no problems with any other Aeroflot A320/A321 type planes that I fly - it is only the new Boeing 737-800. On the plus side, the Boeing 737-800 has international power plugs (2 per 3 seats) to charge your laptop or phone while in flight and makes arrive always charged.",1.0,Economy Class,Boeing 737-800,3x3,seats athens small table tray come fully stopping knees coming horizontal position space knees problems type planes fly side power plugs seats charge laptop phone flight makes arrive always charged
14,aeroflot-russian-airlines,"""really comfortable day time seat""",17th June 2015,"Almost as wide a seat as business class, without the ability to have that level of recline. A really comfortable day time seat, and better than a regular economy seating to sleep in. I was really impressed with the value. Seat had coat hook, USB and AC power ports, and 10 inch entertainment system. Double armrests and extra storage spaces for water bottles or other items.",9.0,Premium Economy,Boeing 777-300ER,2-4-2,almost wide seat business class ability level recline really comfortable day time seat better regular economy seating sleep really impressed value seat coat hook usb power ports inch entertainment system double armrests extra storage spaces water bottles items
15,aeroflot-russian-airlines,"""long-haul seats are very good""",25th July 2014,There are differences between aircraft from same model (A330-300 in this case). Long-haul seats are very good but for short –haul (4 h.) are little bit crowded. The entertainment system does not work smoothly,6.0,Economy Class,AIRBUS A330-300,3x3x3,nces aircraft model case long haul seats good short little bit crowded entertainment system work smoothly
16,aeroflot-russian-airlines,"""expect a bit better""",5th April 2011,Its not easy to have space in economy but when the passenger in front of you still pushing and pushing knowing he will not be able to recline his seat then it becomes a total joke. You expect a bit better seat and at least personal screen.,4.0,Economy Class,Boeing 767,2x3x2,asy space economy passenger front still pushing pushing knowing able recline seat becomes total joke expect bit better seat least personal screen
17,aeroflot-russian-airlines,"""long flights are bearable""",6th October 2009,I did not find the seats on A332 as comfortable as on Aeroflot's A319/320 fleet. When you recline a seat the bottom part moves forward whereby the average legroom becomes even smaller. On the other hand personal entertainment system keeps you occupied therefore long flights are bearable.,7.0,Economy Class,Airbus A330,3x3x3,nd seats comfortable fleet recline seat bottom part moves forward whereby average legroom becomes even smaller hand personal entertainment system keeps occupied therefore long flights bearable
18,aeroflot-russian-airlines,"""leg room is average""",6th October 2009,Leg room is average although the seats recline well. I had an aisle seat in middle section. There are not overhead bins in middle section of this plane. Surprisingly I found a reading spot light on a seat in from of me so I was at least able to read my book on this overnight flight. There is not any entertainment system on Aeroflot's IL96 fleet.,6.0,Economy Class,IL96,3x3x3,leg room average seats recline well aisle seat middle section overhead plane surprisingly found reading spot light seat least able read book overnight flight entertainment system
19,aeroflot-russian-airlines,"""very good inflight product""",13th January 2009,SXF-SVO-IHK return. A very good inflight product with through check in very smooth boarding on all leggs.No inflight entertainment but very good food. Cabin crew could be a little bit more charming.,9.0,Economy Class,A319,3x3,urn good inflight product check smooth boarding leggs inflight entertainment good food cabin crew could little bit charming
0,aerolineas-argentinas,"""by economy standards very spacious""",19th January 2013,Extremely comfortable and by economy standards very spacious some of the best I've been in far a long while. Plane quiet (and fairly new) - no point to business seats really on these planes as economy seats better than most 737 business.,10.0,Economy Class,EMBRAER 190,2x2,xtremely comfortable economy standards spacious best far long plane quiet fairly new point business seats really planes economy seats better business
0,aeromexico,"""overall experience was good""",26th June 2019,"✅ Trip Verified |  It was my first experience on a 9-abreast Dreamliner after having travelled on a Japan Airlines Boeing 787 that features the comfortable 8-abreast configuration. I had an aisle seat (37C), which is a standard economy-class seat. The overall experience was good, however, and even better than expected. On the positive side, the airplane was new, cabin was clean and the legroom was generous. The seat could recline well, slightly reducing the space for your knees at the same time. The IFE system ran smoothly and was user-friendly. There was a USB port and a standard headphones jack. No standard socket was available in the seat, but this was not a major issue in my case. On the negative side, there is obviously the seat width, which forced my left shoulder to be in contact with my neighbour's almost all the time. In my opinion, this should not be the economy class standard that unfortunately is nowadays on the Boeing 787. Aisle width is not generous either, and you could be easily hit by the cabin crew.",7.0,Economy Class,Boeing 787-9,3x3x3,st experience travelled features comfortable configuration aisle seat c standard economy class seat overall experience good however even better expected positive side airplane new cabin clean legroom generous seat could recline well slightly reducing space knees time ife system ran smoothly user friendly usb port standard socket available seat major issue case negative side obviously seat width forced left shoulder contact neighbour almost time opinion economy class standard unfortunately nowadays aisle generous could easily hit cabin crew
1,aeromexico,"""Good leg space""",29th September 2018,"✅ Trip Verified |  Good leg space and recline on AM Plus seats, an approximate 5-hour flight and was quite comfortable. In-flight entertainment with a big variety of movies and tv series, WiFi and usb power.",10.0,Premium Economy,Boeing 737-800,3x3,good leg seats approximate hour flight quite comfortable flight entertainment big variety movies tv series usb power
2,aeromexico,"""I felt quite comfortable""",10th September 2018,"✅ Trip Verified |  Main Cabin Seat 24A, window. Good recline, good length and good width. I felt quite comfortable. Well maintained leather-type seats. In-flight entertainment personal screen and USB port. Movable arm-rest.",9.0,Economy Class,Boeing 737-800,3x3,main cabin seat window good recline good length good width felt quite comfortable maintained leather type seats flight entertainment personal screen usb port movable arm rest
3,aeromexico,"""good leg space""",9th September 2018,"✅ Trip Verified |  Standard Boeing 737-800 economy seat. Comfortable, good leg space, good recline. Leather-type. Comfy, got a blanket. Excellent in-flight entertainment. Very good wi-fi. Good and extremely service oriented crew. USB to charge cellphone.",10.0,Economy Class,Boeing 737-800,3x3,conomy seat comfortable good leg space good recline leather type comfy got blanket excellent flight entertainment good good extremely service oriented crew usb charge cellphone
4,aeromexico,"""seat is very uncomfortable""",10th August 2017,✅ Verified Review |  Flying Shanghai (PVG) to Mexico City. For long houl flight seat is very uncomfortable. Leg room average. Seat pitch I think 32 inch. Very hard to sit 16 hours like this seat. Blanket is very small don't cover full body. Headphone also very cheap. Tv monitor 9 inch. Avoid Aeromexico if you fly long houl flight.,2.0,Economy Class,Boeing 787-8,3x3x3,w flying long houl flight seat uncomfortable leg room average seat pitch think inch hard sit hours seat blanket small cover full body headphone also cheap tv monitor inch avoid aeromexico fly long houl flight
5,aeromexico,"""almost impossible to sleep""",8th September 2016,"The seat doesn´t even recline, It practically moves just a little bit to the back and that's It. At the beginning It feels kind of confortable, but as the time passes you discover that the seats are a small kind of hell. The leg room It is ok, also with the on board entertainment which is pretty good. A 120V output would be a great add on, hope to see that on the brand new 787-900 from Aeromexico, and please, let that seat recline, It is almost impossible to sleep on any Aeromexico airplane because of this.",3.0,Economy Class,Boeing 787-800,3x3x3,seat even recline practically moves little bit back beginning feels kind confortable time passes discover seats small kind hell leg room ok also board entertainment pretty good output would great add hope see brand new aeromexico let seat almost impossible sleep aeromexico airplane
6,aeromexico,"""does not recline at all""",18th January 2016,"Without knowing the seat we had was directly in front of an emergency exit, as a result the seat does not recline at all! This is an extremely uncomfortable seat and should be avoided.  Airline seats are uncomfortable at the best of times but this particular Aeromexico seat was worse than average. Given that the seat in front does recline and this one does not, the space is further restricted. With the seat in front reclined and this on upright it is also difficult to watch the tv screen.",1.0,Economy Class,Boeing 737,3x3,knowing seat directly front emergency exit result seat extremely uncomfortable seat avoided airline seats uncomfortable best times particular aeromexico seat worse average given seat front space restricted seat front reclined upright also difficult watch tv screen
0,air-astana,"""Worse than a budget airline""",5th November 2019,"✅ Trip Verified |  Absolutely shocking seat situation. On a 7+ hour flight from London to Nur Sultan and the seats didn’t have individual in-flight entertainment systems! Tiny screens descended from the ceiling, I was aghast. The air stewardess said there is an app you can download to watch movies ... pretty useless info while you’re in the air. There are also no USB sockets to charge your phone. Worse than a budget airline. The seats were also very hard and didn’t have good headrests. I didn’t sleep on the entire journey,",1.0,Economy Class,Boeing 757,3x3,absolutely shocking seat situation hour flight individual flight entertainment systems tiny screens descended ceiling aghast air stewardess said download watch movies pretty useless info air also usb sockets charge phone worse budget airline seats also hard good headrests sleep entire journey
1,air-astana,"""E190 economy seat is horrible""",22nd August 2016,"✅ Verified Review |  Avoid the Embraer 190 economy seat, it is horrible. When you sit during takeoff and landing, you have to crouch yourself like an old lady. Thus making a problem for a person like me, who is overweight. If you are unlucky and get row 17 or 45, your back will ache by the time you land. Legroom is also average.
",1.0,Economy Class,Embraer E190,2x2,w avoid economy seat horrible sit takeoff landing crouch old lady thus making problem person overweight unlucky get row back ache time land legroom also average
0,air-berlin,"""seat pitch quite narrow.""",12th September 2017,"✅ Verified Review |  Booked economy class aisle seat. Aircraft quite old, seat pitch quite narrow. No inflight entertainment; no electrical outlet, however on the B737 there was wifi (return flight) which offered paid inflight entertainment. Seat is leather, on the way back I didn't understand why the B737 had an A320 safety sheet. There was a small pocket to store only thin books but not iPad and not for a bottle of water either.",4.0,Economy Class,A320,3x3,w booked economy class aisle seat aircraft quite old seat pitch quite narrow inflight entertainment electrical outlet however b wifi return flight offered paid inflight entertainment seat leather way back safety sheet small pocket store thin books ipad bottle water
1,air-berlin,"""legroom is unacceptable""",26th May 2017,"✅ Verified Review |  I flew from Düsseldorf to Copenhagen and back recently on an Air Berlin Dash8-Q400, which is a Turboprop. The duration of the flight was 1hr 15minutes. The flight to Copenhagen was delayed by at least 20 minutes, however having booked EconFlex, was able to retrieve my bags relatively quickly. The flight back to Düsseldorf was delayed by at least 30 minutes. The service on board was non existent, unless you paid for something. No pretzels, peanuts, water or anything. I get its a budget airline, but if your going to have 50 minutes of delays for a normally combined travel duration of 150 minutes, at least give the people a glass of water, but who am I to decide their polices. Being a larger person, its not uncommon for me to have some issues with leg room and so on, but never has it been as unacceptable as it was during this flight. I'm aware a small turbo prop isnt going to have the same room as a jet. My knees were a solid 2 inches (5.08cm for the rest of the world) in the seat back in front of mine. So all in all, sure I made it to Copenhagen with Air Berlin, would I choose them again, not really no. If I would be able to give 0 points I would have.",1.0,Economy Class,Dash8-Q400,2x2,w flew recently turboprop duration flight minutes flight copenhagen delayed least minutes however booked econflex able retrieve bags relatively quickly flight back delayed least minutes service board non existent paid pretzels peanuts water budget airline going minutes delays normally combined travel duration minutes least give people glass water decide polices larger person uncommon issues leg room never unacceptable flight aware small turbo going room jet knees solid inches seat front mine sure made would choose really would able give points would
2,air-berlin,"""worst of the industry""",10th December 2016,"✅ Verified Review |  Air Berlin Economy has extra seats in Economy which you pay for, or it is offered to Elite members. This offer should be extended to One-World partners but it is not so: could not book it on web check in anyway. The ordinary seat is the worst of the industry, most squeezed, almost no recline. Will avoid this airline if flying Etihad Airways.",2.0,Economy Class,A330-200,2x4x2,w economy extra seats economy pay offered elite members offer extended world partners could book web check anyway ordinary seat worst industry squeezed almost recline avoid airline flying
